drug_name,smiles,tokens
dalfopristin,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C\C(\C)=C\[C@@H](O)CC(=O)CC1=NC(=CO1)C2=O,"['CCN(CC)', 'CCS(=O)(=O)', '[C@@H]1', 'CCN2', '[C@H]1', 'C(=O)O', '[C@H](C(C)C)', '[C@H](C)', '\\', 'C=C\\', 'C(=O)NC', '\\', 'C=C\\', 'C(\\', 'C)', '=C\\', '[C@@H](O)', 'CC(=O)', 'CC1=N', 'C(=', 'CO', '1)', 'C2=O']"
meperidine,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,"['CCOC(=O)', 'C1(', 'CCN(C)CC1)', 'C1=', 'CC=', 'CC', '=C1']"
gemfibrozil,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,"['CC1=', 'CC(', 'OCCCC', '(C)(C)', 'C(O)=O)', '=C(C)', 'C=C1']"
valrubicin,[H][C@@]1(C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(OC)C=CC=C1C3=O)C(=O)COC(=O)CCCC)O[C@H]1C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O1,"['[H]', '[C@@]1', '(C', '[C@@](O)(', 'CC2', '=C(O)', 'C3=C(', 'C(O)', '=C1', '2)', 'C(=O)', 'C1=C(', 'OC)', 'C=', 'CC', '=C1', 'C3=O)', 'C(=O)', 'COC(=O)', 'CCCC)', 'O[C@H]1', 'C[C@H](NC(=O)', 'C(F)(F)F)', '[C@H](O)', '[C@H](C)', 'O1']"
lofexidine,CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1,"['CC(O', 'C1=C(', 'Cl)', 'C=', 'CC', '=C1', 'Cl)', 'C1=N', 'CCN1']"
vitamin a,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,"['C', '\\', 'C(', '=C/C', 'O)', '\\', 'C=C\\', 'C', '=C(/', 'C)', '\\', 'C=C\\', 'C1=C(C)', 'CCCC1', '(C)C']"
lusutrombopag,CCCCCCO[C@@H](C)C1=C(OC)C(=CC=C1)C1=CSC(NC(=O)C2=CC(Cl)=C(\C=C(/C)C(O)=O)C(Cl)=C2)=N1,"['CCCC', 'CCO', '[C@@H](C)', 'C1=C(', 'OC)', 'C(=', 'CC=', 'C1)', 'C1=C', 'S', 'C(NC(=O)', 'C2=', 'CC(', 'Cl)', '=C(\\', 'C', '=C(/', 'C)', 'C(O)=O)', 'C(Cl)', '=C', '2)', '=N1']"
carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,"['NC(=O)N1', 'C2=', 'CC=', 'CC', '=C2', 'C=', 'CC2', '=', 'CC=', 'CC', '=C1', '2']"
zafirlukast,COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=CC=CC=C1C,"['CO', 'C1=', 'CC(', '=', 'CC', '=C1', 'CC1=', 'CN(C)', 'C2', '=C1', 'C=C(', 'NC(=O)', 'O', 'C1CCCC1)', 'C=C', '2)', 'C(=O)NS(=O)(=O)', 'C1=', 'CC=', 'CC', '=C1', 'C']"
pirfenidone,CC1=CN(C(=O)C=C1)C1=CC=CC=C1,"['CC1', '=C', 'N(C(=O)', 'C=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
piperazine,C1CNCCN1,"['C1', 'CN', 'CCN1']"
belinostat,ONC(=O)\C=C\C1=CC=CC(=C1)S(=O)(=O)NC1=CC=CC=C1,"['O', 'NC(=O)', '\\', 'C=C\\', 'C1=', 'CC=', 'CC(', '=', 'C1)', 'S(=O)(=O)N', 'C1=', 'CC=', 'CC', '=C1']"
phenazopyridine,NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1,"['NC1=N', 'C(N)', '=C(', 'C=', 'C1)', '\\', 'N', '=N\\', 'C1=', 'CC=', 'CC', '=C1']"
hydroxocobalamin,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],"['[N+]1', '=', '2', '[Co-3]', '3', '4', '5', '(', '[N+]', '6', '=C', '7', '[C@H](', '[C@@](', 'CC(=O)', 'N)', '(C)', '[C@@]', '6', '(', '[C@@]', '6', '(N3', 'C(=', 'C(C)', 'C3', '=[N+]', '4', 'C(', 'C(C)(C)', '[C@@H]3', 'CCC(=O)N', ')', '=', 'CC3', '=[N+]', '5', 'C(', '=C', '7', 'C)', '[C@@](', 'CC(=O)', 'N)', '(', '[C@@H]3', 'CCC(=O)N', ')', 'C)', '[C@@](C)(', '[C@H]', '6', 'CC(=O)', 'N)', 'CCC(N', 'C[C@@H](C)', 'O', 'P(=O)(O', '[C@@H]3', '[C@H](', 'O[C@H](', 'N(', 'C4', '=', 'CC(', '=C(', 'C=C1', '4)', 'C)C)', 'C=', '2)', '[C@@H]3', 'O)', 'CO)', '[O-])', '=O)', '[H]', ')', 'C)', 'CCC(=O)N', ')', 'O', '[H]']"
iopromide,COCC(=O)NC1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(C(=O)NCC(O)CO)=C1I,"['CO', 'CC(=O)N', 'C1=C(', 'I)', 'C(', 'C(=O)N(C)', 'CC(O)', 'CO)', '=C(', 'I)', 'C(C(=O)N', 'CC(O)', 'CO)', '=C1', 'I']"
levothyroxine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,"['N[C@@H](', 'CC1=', 'CC(', 'I)', '=C(', 'O', 'C2=', 'CC(', 'I)', '=C(O)', 'C(', 'I)', '=C', '2)', 'C(', 'I)', '=', 'C1)', 'C(O)=O']"
halothane,[H]C(Cl)(Br)C(F)(F)F,"['[H]', 'C(Cl)', '(', 'Br)', 'C(F)(F)F']"
buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,"['O=C1', 'CC2(', 'CCCC2)', 'CC(=O)N1', 'CCCC', 'N1CCN(', 'CC1)', 'C1=N', 'C=', 'CC=', 'N1']"
nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C,"['CO', 'CCOC(=O)', 'C1=C(C)N', 'C(C)=C(', 'C1', 'C1=', 'CC(', '=', 'CC=', 'C1)', '[N+]([O-])=O)', 'C(=O)O', 'C(C)C']"
tolazamide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1,"['CC1=', 'CC', '=C(', 'C=', 'C1)', 'S(=O)(=O)N', 'C(=O)N', 'N1CCCC', 'CC1']"
erdafitinib,COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC=C2N=CC(=NC2=C1)C1=CN(C)N=C1,"['CO', 'C1=', 'CC(', '=', 'CC(', 'OC)', '=', 'C1)', 'N(', 'CCN', 'C(C)C)', 'C1=', 'CC', '=C2', 'N=', 'CC(', '=N', 'C2=', 'C1)', 'C1=', 'CN(C)', 'N=C1']"
copper gluconate,[Cu++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O,"['[Cu++]', '.', 'OC', '[C@@H](O)', '[C@@H](O)[C@H](O)', '[C@@H](O)', 'C(', '[O-])', '=O', '.', 'OC', '[C@@H](O)', '[C@@H](O)[C@H](O)', '[C@@H](O)', 'C(', '[O-])', '=O']"
esketamine,CN[C@@]1(CCCCC1=O)C1=CC=CC=C1Cl,"['CN', '[C@@]1(', 'CCCC', 'C1=O)', 'C1=', 'CC=', 'CC', '=C1', 'Cl']"
cefuroxime,[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CC=CO1)C(O)=O,"['[H]', '[C@]12', 'S', 'CC(CO', 'C(N)=O)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)C(', '=N/', 'OC)', '\\', 'C1=', 'CC=', 'CO', '1)', 'C(O)=O']"
cerivastatin,COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C,"['CO', 'CC1=C(', 'C2=', 'CC', '=C(', 'F)', 'C=C', '2)', 'C(\\', 'C=C\\', '[C@@H](O)', 'C[C@@H](O)', 'CC(O)=O)', '=C(', 'C(C)C)', 'N=C1', 'C(C)C']"
leflunomide,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,"['CC1=C(', 'C=N', 'O1)', 'C(=O)N', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(F)(F)F']"
amphotericin b,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,"['[H]', '[C@]12', 'C[C@@H](', 'O[C@@H]3', 'O[C@H](C)', '[C@@H](O)', '[C@H](N)', '[C@@H]3', 'O)', '\\', 'C=C\\', 'C=C\\', 'C=C\\', 'C=C\\', 'C=C\\', 'C=C\\', 'C=C\\', '[C@H](C)', '[C@@H](O)', '[C@@H](C)', '[C@H](C)', 'OC(=O)', 'C[C@H](O)', 'C[C@H](O)', 'CC', '[C@@H](O)[C@H](O)', 'C[C@H](O)', 'C', '[C@]', '(O)', '(C', '[C@H](O)', '[C@H]1', 'C(O)=O)', 'O2']"
tolmetin,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,"['CN1', 'C(', 'CC(O)=O)', '=', 'CC', '=C1', 'C(=O)', 'C1=', 'CC', '=C(C)', 'C=C1']"
iron sucrose,O.O.O.[OH-].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Na+].[Na+].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,"['O', '.', 'O', '.', 'O', '.', '[OH-]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[Na+]', '.', '[Na+]', '.', '[Fe+3]', '.', '[Fe+3]', '.', '[Fe+3]', '.', '[Fe+3]', '.', '[Fe+3]', '.', 'OC', '[C@H]1O', '[C@@](', 'CO)', '(O', '[C@H]2', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]2O)', '[C@@H](O)', '[C@@H]1O']"
gallium chloride ga-67,[Cl-].[Cl-].[Cl-].[67Ga+3],"['[Cl-]', '.', '[Cl-]', '.', '[Cl-]', '.', '[67Ga+3]']"
grazoprevir,COC1=CC2=NC3=C(CCCCC[C@@H]4C[C@H]4OC(=O)N[C@H](C(=O)N4C[C@@H](C[C@H]4C(=O)N[C@@]4(C[C@H]4C=C)C(=O)NS(=O)(=O)C4CC4)O3)C(C)(C)C)N=C2C=C1,"['CO', 'C1=', 'CC2', '=N', 'C3=C(', 'CCCCC', '[C@@H]4', 'C[C@H]4', 'O', 'C(=O)N[C@H](', 'C(=O)N', '4', 'C[C@@H](', 'C[C@H]4', 'C(=O)N', '[C@@]4', '(C', '[C@H]4', 'C=C)', 'C(=O)NS(=O)(=O)', 'C4CC4)', 'O3)', 'C(C)(C)C)', 'N=C2', 'C=C1']"
loperamide,CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1,"['CN(C)', 'C(=O)C(', 'CCN1', 'CCC(O)(', 'CC1)', 'C1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', '(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
inulin,OC[C@H]1O[C@@](CO)(OC[C@@]2(OC[C@@]3(OC[C@@]4(OC[C@@]5(OC[C@@]6(OC[C@@]7(OC[C@@]8(OC[C@@]9(OC[C@@]%10(OC[C@@]%11(OC[C@@]%12(OC[C@@]%13(OC[C@@]%14(OC[C@@]%15(OC[C@@]%16(OC[C@@]%17(OC[C@@]%18(OC[C@@]%19(OC[C@@]%20(OC[C@@]%21(OC[C@@]%22(OC[C@@]%23(OC[C@@]%24(OC[C@@]%25(OC[C@@]%26(OC[C@@]%27(OC[C@@]%28(OC[C@@]%29(OC[C@@]%30(OC[C@@]%31(OC[C@@]%32(OC[C@@]%33(OC[C@@]%34(OC[C@@]%35(OC[C@@]%36(OC[C@@]%37(O[C@H]%38O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%38O)O[C@H](CO)[C@@H](O)[C@@H]%37O)O[C@H](CO)[C@@H](O)[C@@H]%36O)O[C@H](CO)[C@@H](O)[C@@H]%35O)O[C@H](CO)[C@@H](O)[C@@H]%34O)O[C@H](CO)[C@@H](O)[C@@H]%33O)O[C@H](CO)[C@@H](O)[C@@H]%32O)O[C@H](CO)[C@@H](O)[C@@H]%31O)O[C@H](CO)[C@@H](O)[C@@H]%30O)O[C@H](CO)[C@@H](O)[C@@H]%29O)O[C@H](CO)[C@@H](O)[C@@H]%28O)O[C@H](CO)[C@@H](O)[C@@H]%27O)O[C@H](CO)[C@@H](O)[C@@H]%26O)O[C@H](CO)[C@@H](O)[C@@H]%25O)O[C@H](CO)[C@@H](O)[C@@H]%24O)O[C@H](CO)[C@@H](O)[C@@H]%23O)O[C@H](CO)[C@@H](O)[C@@H]%22O)O[C@H](CO)[C@@H](O)[C@@H]%21O)O[C@H](CO)[C@@H](O)[C@@H]%20O)O[C@H](CO)[C@@H](O)[C@@H]%19O)O[C@H](CO)[C@@H](O)[C@@H]%18O)O[C@H](CO)[C@@H](O)[C@@H]%17O)O[C@H](CO)[C@@H](O)[C@@H]%16O)O[C@H](CO)[C@@H](O)[C@@H]%15O)O[C@H](CO)[C@@H](O)[C@@H]%14O)O[C@H](CO)[C@@H](O)[C@@H]%13O)O[C@H](CO)[C@@H](O)[C@@H]%12O)O[C@H](CO)[C@@H](O)[C@@H]%11O)O[C@H](CO)[C@@H](O)[C@@H]%10O)O[C@H](CO)[C@@H](O)[C@@H]9O)O[C@H](CO)[C@@H](O)[C@@H]8O)O[C@H](CO)[C@@H](O)[C@@H]7O)O[C@H](CO)[C@@H](O)[C@@H]6O)O[C@H](CO)[C@@H](O)[C@@H]5O)O[C@H](CO)[C@@H](O)[C@@H]4O)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,"['OC', '[C@H]1O', '[C@@](', 'CO)', '(', 'OC', '[C@@]2(', 'OC', '[C@@]3(', 'OC', '[C@@]4', '(', 'OC', '[C@@]5', '(', 'OC', '[C@@]', '6', '(', 'OC', '[C@@]', '7', '(', 'OC', '[C@@]', '8', '(', 'OC', '[C@@]', '9', '(', 'OC', '[C@@]', '%10', '(', 'OC', '[C@@]', '%11', '(', 'OC', '[C@@]', '%12', '(', 'OC', '[C@@]', '%13', '(', 'OC', '[C@@]', '%14', '(', 'OC', '[C@@]', '%15', '(', 'OC', '[C@@]', '%16', '(', 'OC', '[C@@]', '%17', '(', 'OC', '[C@@]', '%18', '(', 'OC', '[C@@]', '%19', '(', 'OC', '[C@@]', '%20', '(', 'OC', '[C@@]', '%21', '(', 'OC', '[C@@]', '%22', '(', 'OC', '[C@@]', '%23', '(', 'OC', '[C@@]', '%24', '(', 'OC', '[C@@]', '%25', '(', 'OC', '[C@@]', '%26', '(', 'OC', '[C@@]', '%27', '(', 'OC', '[C@@]', '%28', '(', 'OC', '[C@@]', '%29', '(', 'OC', '[C@@]', '%30', '(', 'OC', '[C@@]', '%31', '(', 'OC', '[C@@]', '%32', '(', 'OC', '[C@@]', '%33', '(', 'OC', '[C@@]', '%34', '(', 'OC', '[C@@]', '%35', '(', 'OC', '[C@@]', '%36', '(', 'OC', '[C@@]', '%37', '(O', '[C@H]', '%38', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]', '%38', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%37', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%36', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%35', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%34', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%33', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%32', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%31', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%30', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%29', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%28', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%27', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%26', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%25', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%24', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%23', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%22', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%21', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%20', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%19', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%18', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%17', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%16', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%15', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%14', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%13', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%12', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%11', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%10', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '9', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '8', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '7', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '6', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]5', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]4', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]3', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]2O)', '[C@@H](O)', '[C@@H]1O']"
tolcapone,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,"['CC1=', 'CC', '=C(', 'C=', 'C1)', 'C(=O)', 'C1=', 'CC(', '=C(O)', 'C(O)', '=', 'C1)', '[N+]([O-])=O']"
streptomycin,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,"['CN', '[C@H]1', '[C@H](O)[C@@H](O)', '[C@H](CO)', 'O', '[C@H]1O', '[C@H]1[C@H](', 'O[C@H]2', '[C@H](O)[C@@H](O)', '[C@H](', 'NC(N)', '=N)', '[C@@H](O)', '[C@@H]2', 'NC(N)', '=N)', 'O', '[C@@H](C)', '[C@]1(O)', 'C', '=O']"
methacholine,CC(C[N+](C)(C)C)OC(C)=O,"['CC(', 'C', '[N+](C)(C)C)', 'O', 'C(C)=O']"
voxilaprevir,CC[C@@H]1[C@@H]2CN([C@@H]1C(=O)N[C@@]1(C[C@H]1C(F)F)C(=O)NS(=O)(=O)C1(C)CC1)C(=O)[C@@H](NC(=O)O[C@@H]1C[C@H]1CCCCC(F)(F)C1=C(O2)N=C2C=C(OC)C=CC2=N1)C(C)(C)C,"['CC[C@@H]1', '[C@@H]2', 'CN(', '[C@@H]1', 'C(=O)N', '[C@@]1(', 'C[C@H]1', 'C(F)F)', 'C(=O)NS(=O)(=O)', 'C1(C)', 'CC1)', 'C(=O)', '[C@@H](NC(=O)', 'O[C@@H]1', 'C[C@H]1', 'CCCC', 'C(F)(F)', 'C1=C(', 'O2)', 'N=C2', 'C=C(', 'OC)', 'C=', 'CC2', '=N1', ')', 'C(C)(C)C']"
tafenoquine,COC1=CC(C)=C2C(OC3=CC=CC(=C3)C(F)(F)F)=C(OC)C=C(NC(C)CCCN)C2=N1,"['CO', 'C1=', 'CC(C)', '=C2', 'C(', 'OC3', '=', 'CC=', 'CC(', '=C', '3)', 'C(F)(F)F)', '=C(', 'OC)', 'C=C(', 'N', 'C(C)', 'CCCN)', 'C2=', 'N1']"
minocycline,[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,"['[H]', '[C@@]12', 'CC3', '=C(', 'C(O)', '=', 'CC', '=C3', 'N(C)C)', 'C(=O)', 'C1=C(O)', '[C@]1(O)', 'C(=O)C(', 'C(N)=O)', '=C(O)', '[C@@H](', 'N(C)C)', '[C@]1(', '[H]', ')', 'C2']"
levobupivacaine,CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,"['CCCCN1', 'CCCC', '[C@H]1', 'C(=O)N', 'C1=C(C)', 'C=', 'CC', '=C1', 'C']"
ergometrine,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](C)CO,"['[H]', '[C@@]12', 'CC3', '=', 'CN', 'C4', '=', 'CC=', 'CC(', '=C3', '4)', 'C1=C', '[C@H](', 'CN2', 'C)', 'C(=O)N[C@@H](C)', 'CO']"
fexofenadine,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,"['CC(C)(', 'C(O)=O)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(O)', 'CCCN1', 'CCC(', 'CC1)', 'C(O)(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
carmustine,ClCCNC(=O)N(CCCl)N=O,"['Cl', 'CCNC(=O)', 'N(CCCl)', 'N', '=O']"
