drug_name,tokens
raloxifene,"['O', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C1=C(', 'C(=O)', 'C2=', 'CC', '=C(', 'OCC', 'N3', 'CCCCC3)', 'C=C', '2)', 'C2=C(', 'S', '1)', 'C=C(', 'O)', 'C=C2']"
griseofulvin,"['CO', 'C1=', 'CC(', 'OC)', '=C(', 'Cl)', 'C2', '=C1', 'C(=O)', '[C@]1', '(O', '2)', '[C@H](C)', 'CC(=O)', 'C=C1', 'OC']"
meclofenamic acid,"['CC1=C(', 'Cl)', 'C(N', 'C2=', 'CC=', 'CC', '=C2', 'C(O)=O)', '=C(', 'Cl)', 'C=C1']"
voxelotor,"['CC(C)', 'N1', 'N=', 'CC', '=C1', 'C1=C(', 'CO', 'C2=', 'CC=', 'CC(O)', '=C2', 'C=O)', 'C=', 'CC=', 'N1']"
dexmethylphenidate,"['[H]', '[C@@](', 'C(=O)OC)', '(', 'C1=', 'CC=', 'CC=', 'C1)', '[C@@]1(', '[H]', ')', 'CCCCN1']"
zolmitriptan,"['CN(C)', 'CCC1', '=', 'CN', 'C2=', 'CC', '=C(', 'C[C@H]3', 'COC(=O)N', '3)', 'C=', 'C12']"
levodopa,"['N[C@@H](', 'CC1=', 'CC(O)', '=C(O)', 'C=', 'C1)', 'C(O)=O']"
methyldopa,"['C', '[C@](', 'N)', '(', 'CC1=', 'CC', '=C(O)', 'C(O)', '=', 'C1)', 'C(O)=O']"
naltrexone,"['[H]', '[C@@]12', 'OC3', '=C(O)', 'C=', 'CC4', '=C3', '[C@@]1', '1', 'CCN(', 'CC3CC3)', '[C@](', '[H]', ')', '(C', '4)', '[C@]1(O)', 'CCC2', '=O']"
pindolol,"['CC(C)N', 'CC(O)CO', 'C1=', 'CC=', 'CC2', '=C1', 'C=', 'CN2']"
dexamethasone,"['[H]', '[C@@]12', 'C[C@@H](C)', '[C@](O)(', 'C(=O)', 'CO)', '[C@@]1', '(C)C', '[C@H](O)', '[C@@]1', '(F)', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'C=C', '[C@]12C']"
glimepiride,"['CCC1', '=C(C)', 'CN(', 'C(=O)N', 'CCC2', '=', 'CC', '=C(', 'C=C', '2)', 'S(=O)(=O)N', 'C(=O)N', '[C@H]2', 'CC[C@H](C)', 'CC2)', 'C1=O']"
trospium,"['[H]', '[C@]12', 'CC', '[C@](', '[H]', ')', '(', 'C[C@@H](', 'C1)', 'OC(=O)', 'C(O)(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC=', 'C1)', '[N+]2', '1', 'CCCC1']"
flurbiprofen,"['CC(', 'C(O)=O)', 'C1=', 'CC', '(F)', '=C(', 'C=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
pasireotide,"['NCCCC', '[C@@H]1', 'NC(=O)[C@@H](', 'CC2', '=', 'CN', 'C3', '=C2', 'C=', 'CC', '=C', '3)', 'NC(=O)', '[C@@H](NC(=O)', '[C@@H]2', 'C[C@H](', 'CN2C(=O)', '[C@H](', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'NC(=O)[C@H](', 'CC2', '=', 'CC', '=C(', 'OCC3', '=', 'CC=', 'CC', '=C', '3)', 'C=C', '2)', 'N', 'C1=O)', 'O', 'C(=O)NCC', 'N)', 'C1=', 'CC=', 'CC', '=C1']"
aclidinium,"['OC(', 'C(=O)O', '[C@H]1C', '[N+]2', '(', 'CCCO', 'C3=', 'CC=', 'CC', '=C', '3)', 'CCC1', 'CC2)', '(', 'C1=', 'CC', '=C', 'S', '1)', 'C1=', 'CC', '=C', 'S1']"
levamisole,"['C1', 'CN2', 'C[C@@H](', 'N=C2', 'S', '1)', 'C1=', 'CC=', 'CC', '=C1']"
eliglustat,"['CCCCCCCC', '(=O)N', '[C@H](', 'CN1', 'CCCC1)', '[C@H](O)', 'C1=', 'CC', '=C2', 'OCCO', 'C2', '=C1']"
gonadorelin,"['CC(C)', 'CC(NC(=O)', 'CNC(=O)', 'C(', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'NC(=O)', 'C(CO)', 'NC(=O)C(', 'CC1=', 'CN', 'C2=', 'CC=', 'CC', '=C1', '2)', 'NC(=O)C(', 'CC1=', 'CN', '=', 'CN', '1)', 'NC(=O)', 'C1', 'CCC(=O)N', '1)', 'C(=O)NC(', 'CCCN=C(N)N)', 'C(=O)N1', 'CCCC1', 'C(=O)N', 'CC(N)', '=O']"
sucralfate,"['O', '.', 'O', '[Al]', '(O)', 'O', '.', 'O', '[Al]', '(O)', 'O', 'S(=O)(=O)', 'OC', '[C@H]1O', '[C@@](', 'CO', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '(O', '[C@H]2', 'O[C@H](CO', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '[C@@H](O', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '[C@H](O', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '[C@H]2O', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '[C@@H](O', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '[C@@H]1O', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O']"
monopotassium phosphate,"['[K+]', '.', 'O', 'P(O)', '([O-])', '=O']"
aztreonam,"['C[C@H]1', '[C@H](NC(=O)', 'C(', '=N/', 'OC(C)(C)', 'C(=O)O)', '\\', 'C2', '=C', 'SC(', '[NH3+]', ')', '=N', '2)', 'C(=O)N1', 'S(', '[O-])', '(=O)=O']"
acetohydroxamic acid,"['CC(=O)N', 'O']"
timolol,"['[H]', '[C@](O)(', 'CN', 'C(C)(C)C)', 'CO', 'C1=N', 'S', 'N=C1', 'N1CCOCC1']"
isosorbide dinitrate,"['[H]', '[C@]12', 'OC', '[C@H](O', '[N+]([O-])=O)', '[C@@]1(', '[H]', ')', 'OC', '[C@H]2O', '[N+]([O-])=O']"
zalcitabine,"['N', 'C1=', 'NC(=O)', 'N(', 'C=', 'C1)', '[C@H]1', 'CC[C@@H](', 'CO)', 'O1']"
exemestane,"['[H]', '[C@@]12', 'CCC(=O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC(', '=C)', 'C2=', 'CC(=O)', 'C=C', '[C@]12C']"
primidone,"['CCC1(', 'C(=O)N', 'CN', 'C1=O)', 'C1=', 'CC=', 'CC', '=C1']"
ammonium chloride,"['[NH4+]', '.', '[Cl-]']"
alogliptin,"['CN1C(=O)', 'C=C(', 'N2', 'CCC', '[C@@H](N)', 'C2)', 'N(', 'CC2', '=C(', 'C=', 'CC', '=C', '2)', 'C#N)', 'C1=O']"
piperacillin,"['[H]', '[C@]12', 'S', 'C(C)(C)', '[C@@H](', 'N1C(=O)', '[C@H]2', 'NC(=O)[C@H](', 'NC(=O)N1', 'CCN(CC)C(=O)', 'C1=O)', 'C1=', 'CC=', 'CC=', 'C1)', 'C(O)=O']"
cefuroxime,"['[H]', '[C@]12', 'S', 'CC(CO', 'C(N)=O)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)C(', '=N/', 'OC)', '\\', 'C1=', 'CC=', 'CO', '1)', 'C(O)=O']"
levocetirizine,"['OC(=O)', 'CO', 'CCN1CCN(', 'CC1)', '[C@H](', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']"
esomeprazole,"['CO', 'C1=', 'CC2', '=C(', 'NC(', '=N', '2)', '[S@@]', '(=O)', 'CC2', '=N', 'C=C(C)', 'C(OC)', '=C2', 'C)', 'C=C1']"
treprostinil,"['[H]', '[C@]12', 'C[C@@H](O)', '[C@H](CC', '[C@@H](O)', 'CCCCC)', '[C@@]1(', '[H]', ')', 'CC1=C(', 'C2)', 'C(OCC', '(O)=O)', '=', 'CC', '=C1']"
bisacodyl,"['CC(=O)O', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(', 'C1=', 'CC', '=C(', 'OC(C)=O)', 'C=', 'C1)', 'C1=', 'CC=', 'CC=', 'N1']"
dabrafenib,"['CC(C)(C)', 'C1=N', 'C(', '=C(', 'S', '1)', 'C1=N', 'C(N)=N', 'C=', 'C1)', 'C1=C(', 'F)', 'C(N', 'S(=O)(=O)', 'C2=C(', 'F)', 'C=', 'CC', '=C2', 'F)', '=', 'CC', '=C1']"
iron,['[Fe]']
sodium acetate,"['[Na+]', '.', 'CC(', '[O-])', '=O']"
lithium carbonate,"['[Li+]', '.', '[Li+]', '.', '[O-]', 'C(', '[O-])', '=O']"
torasemide,"['CC(C)', 'NC(=O)N', 'S(=O)(=O)', 'C1=C(', 'N', 'C2=', 'CC=', 'CC(C)', '=C', '2)', 'C=', 'CN', '=C1']"
sotalol,"['CC(C)N', 'CC(O)', 'C1=', 'CC', '=C(N', 'S(C)(=O)=O)', 'C=C1']"
ascorbic acid,"['[H]', '[C@@]1(', 'OC(=O)', 'C(O)', '=C1', 'O)', '[C@@H](O)', 'CO']"
telbivudine,"['CC1', '=C', 'N(', '[C@@H]2', 'C[C@@H](O)', '[C@H](CO)', 'O2)', 'C(=O)N', 'C1=O']"
irbesartan,"['CCCCC1', '=N', 'C2(', 'CCCC2)', 'C(=O)N1', 'CC1=', 'CC', '=C(', 'C=', 'C1)', 'C1=', 'CC=', 'CC', '=C1', 'C1=N', 'N', 'N', '=N1']"
mercaptopurine,"['S', '=C1', 'N=', 'CN', 'C2', '=C1', 'N', 'C=', 'N2']"
amiodarone,"['CCCCC1', '=C(', 'C(=O)', 'C2=', 'CC(', 'I)', '=C(', 'OCC', 'N(CC)CC)', 'C(', 'I)', '=C', '2)', 'C2=C(', 'O1)', 'C=', 'CC', '=C2']"
fluvoxamine,"['CO', 'CCCC', '\\', 'C(', '=N/', 'OCC', 'N)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(F)(F)F']"
bremelanotide,"['CCCC', '[C@H](', 'NC(C)=O)', 'C(=O)N[C@H]1', 'CC(=O)N', 'CCCC', '[C@H](', 'NC(=O)[C@H](', 'CC2', '=', 'CN', 'C3=', 'CC=', 'CC', '=C2', '3)', 'NC(=O)[C@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@@H](', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'NC(=O)[C@H](', 'CC2', '=', 'CN', '=', 'CN', '2)', 'N', 'C1=O)', 'C(O)=O']"
lindane,"['Cl', '[C@H]1[C@H](', 'Cl)', '[C@@H](', 'Cl)', '[C@@H](', 'Cl)', '[C@H](', 'Cl)', '[C@H]1', 'Cl']"
auranofin,"['CC', 'P', '(CC)', '(CC)', '=', '[Au]', 'S', '[C@@H]1', 'O[C@H](CO', 'C(C)=O)', '[C@@H](OC(C)=O)', '[C@H](OC(C)=O)', '[C@H]1O', 'C(C)=O']"
paritaprevir,"['[H]', '[C@@]12', 'C', '[C@]1(', 'NC(=O)', '[C@]1(', '[H]', ')', 'C[C@H](', 'CN1C(=O)', '[C@H](', 'CCCCC', '\\', 'C', '=C/', '2)', 'NC(=O)', 'C1=', 'CN', '=C(C)', 'C=', 'N1)', 'O', 'C1=N', 'C2=C(', 'C=', 'CC', '=C', '2)', 'C2', '=C1', 'C=', 'CC', '=C', '2)', 'C(=O)NS(=O)(=O)', 'C1CC1']"
diphenhydramine,"['CN(C)', 'CCOC(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
fluorouracil,"['F', 'C1=', 'CNC(=O)N', 'C1=O']"
abemaciclib,"['CCN1CCN(', 'CC2', '=', 'CC', '=C(N', 'C3=N', 'C=C(', 'F)', 'C(=N', '3)', 'C3=', 'CC', '(F)', '=C4', 'N', '=C(C)', 'N(C(C)C)', 'C4', '=C', '3)', 'N=C', '2)CC1']"
dasatinib,"['CC1=N', 'C(N', 'C2=N', 'C=C(', 'S', '2)', 'C(=O)NC2', '=C(C)', 'C=', 'CC', '=C2', 'Cl)', '=', 'CC(', '=N1', ')', 'N1CCN(', 'CCO)', 'CC1']"
terfenadine,"['CC(C)(C)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(O)', 'CCCN1', 'CCC(', 'CC1)', 'C(O)(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
sparfloxacin,"['C[C@H]1', 'CN(C', '[C@@H](C)', 'N1)', 'C1=C(', 'F)', 'C(N)', '=C2', 'C(=O)C(', '=C', 'N(', 'C3CC3)', 'C2', '=C1', 'F)', 'C(O)=O']"
tubocurarine,"['[H]', '[C@@]12', 'CC3', '=', 'CC', '=C(', 'OC4', '=C', '5', 'C(CC', '[N+](C)(C)', '[C@]5', '(', '[H]', ')', 'CC5', '=', 'CC(', 'OC', '6', '=C(', 'OC)', 'C=C(', 'CCN1', 'C)', 'C2', '=C', '6)', '=C(O)', 'C=C', '5)', '=', 'CC(', 'OC)', '=C4', 'O)', 'C=C3']"
diazepam,"['CN1', 'C2=C(', 'C=C(', 'Cl)', 'C=C', '2)', 'C(=N', 'CC1', '=O)', 'C1=', 'CC=', 'CC', '=C1']"
deoxycholic acid,"['[H]', '[C@@]12', 'CC[C@H](', '[C@H](C)', 'CCC(O)=O)', '[C@@]1(C)', '[C@@H](O)', 'C', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC', '[C@]2(', '[H]', ')', 'C[C@H](O)', 'CC', '[C@]12C']"
testosterone,"['[H]', '[C@@]12', 'CC[C@H](O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'CC', '[C@]12C']"
pegvaliase,"['COCCO', 'CCCC', 'CC(=O)N', 'CCCC', '[C@H](N)', 'C(O)=O']"
sodium ferric gluconate complex,"['[O--]', '.', '[O--]', '.', '[O--]', '.', '[Na+]', '.', '[Fe+3]', '.', '[Fe+3]', '.', 'OC', '[C@@H](O)', '[C@@H](O)[C@H](O)', '[C@@H](O)', 'C(', '[O-])', '=O', '.', 'OC', '[C@H]1O', '[C@@](', 'CO)', '(O', '[C@H]2', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]2O)', '[C@@H](O)', '[C@@H]1O', '.', 'OC', '[C@H]1O', '[C@@](', 'CO)', '(O', '[C@H]2', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]2O)', '[C@@H](O)', '[C@@H]1O', '.', 'OC', '[C@H]1O', '[C@@](', 'CO)', '(O', '[C@H]2', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]2O)', '[C@@H](O)', '[C@@H]1O', '.', 'OC', '[C@H]1O', '[C@@](', 'CO)', '(O', '[C@H]2', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]2O)', '[C@@H](O)', '[C@@H]1O', '.', 'OC', '[C@H]1O', '[C@@](', 'CO)', '(O', '[C@H]2', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]2O)', '[C@@H](O)', '[C@@H]1O']"
deserpidine,"['[H]', '[C@]12', 'C[C@@H](', 'OC(=O)', 'C3=', 'CC(', 'OC)', '=C(', 'OC)', 'C(OC)', '=C', '3)', '[C@H](OC)', '[C@@H](', 'C(=O)OC)', '[C@@]1(', '[H]', ')', 'C', '[C@@]1(', '[H]', ')', 'N(', 'CCC3', '=C1', 'N', 'C1=', 'CC=', 'CC', '=C3', '1)', 'C2']"
cabotegravir,"['[H]', '[C@@]12', 'CN3', 'C=C(', 'C(=O)N', 'CC4', '=C(', 'F)', 'C=C(', 'F)', 'C=C', '4)', 'C(=O)', 'C(O)', '=C3', 'C(=O)N1', '[C@@H](C)', 'CO2']"
ferric derisomaltose,"['[Fe+3]', '.', 'OC', '[C@H](O)[C@@H](O)[C@H](O)', '[C@H](O)', 'CO[C@H]1', 'O[C@H](CO', '[C@H]2', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]2O)', '[C@@H](O)[C@H](O)', '[C@H]1O']"
fondaparinux,"['CO[C@H]1', 'O[C@H](CO', 'S', '(O)', '(=O)=O)', '[C@@H](', 'O[C@@H]2', 'O[C@H](', '[C@@H](O', '[C@H]3', 'O[C@H](CO', 'S', '(O)', '(=O)=O)', '[C@@H](O', '[C@@H]4', 'O[C@@H](', '[C@@H](O', '[C@H]5', 'O[C@H](CO', 'S', '(O)', '(=O)=O)', '[C@@H](O)[C@H](O)', '[C@H]5', 'N', 'S', '(O)', '(=O)=O)', '[C@H](O)', '[C@H]4', 'O)', 'C(O)=O)', '[C@H](O', 'S', '(O)', '(=O)=O)', '[C@H]3', 'N', 'S', '(O)', '(=O)=O)', '[C@H](O)', '[C@H]2O', 'S', '(O)', '(=O)=O)', 'C(O)=O)', '[C@H](O)', '[C@H]1', 'N', 'S', '(O)', '(=O)=O']"
bisoprolol,"['CC(C)N', 'CC(O)CO', 'C1=', 'CC', '=C(', 'COCCO', 'C(C)C)', 'C=C1']"
ibrutinib,"['NC1=N', 'C=N', 'C2', '=C1', 'C(=N', 'N2', '[C@@H]1', 'CCCN(', 'C1)', 'C(=O)', 'C=C)', 'C1=', 'CC', '=C(', 'O', 'C2=', 'CC=', 'CC', '=C', '2)', 'C=C1']"
sulfasalazine,"['OC(=O)', 'C1=', 'CC(', '=', 'CC', '=C1', 'O)', '\\', 'N', '=N\\', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'S(=O)(=O)N', 'C1=N', 'C=', 'CC', '=C1']"
desloratadine,"['Cl', 'C1=', 'CC2', '=C(', 'C=', 'C1)', 'C(=', 'C1', 'CCN', 'CC1)', 'C1=C(', 'CC2)', 'C=', 'CC=', 'N1']"
escitalopram,"['CN(C)', 'CCC', '[C@]1(', 'OCC2', '=C1', 'C=CC(', '=C', '2)', 'C#N)', 'C1=', 'CC', '=C(', 'F)', 'C=C1']"
dasabuvir,"['CO', 'C1=C(', 'C=C(', 'C=C1', 'C1=', 'CC2', '=', 'CC', '=C(N', 'S(C)(=O)=O)', 'C=C2', 'C=', 'C1)', 'N1', 'C=', 'CC(=O)N', 'C1=O)', 'C(C)(C)C']"
paraldehyde,"['CC1', 'OC(C)', 'OC(C)', 'O1']"
yohimbine,"['[H]', '[C@@]12', 'CC[C@H](O)', '[C@H](', 'C(=O)OC)', '[C@@]1(', '[H]', ')', 'C', '[C@]1(', '[H]', ')', 'N(', 'CCC3', '=C1', 'N', 'C1=', 'CC=', 'CC', '=C3', '1)', 'C2']"
hydroxyzine,"['OCCOCC', 'N1CCN(', 'CC1)', 'C(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']"
quetiapine,"['OCCOCC', 'N1CCN(', 'CC1)', 'C1=N', 'C2=', 'CC=', 'CC', '=C2', 'S', 'C2=', 'CC=', 'CC', '=C1', '2']"
encorafenib,"['COC(=O)N', '[C@@H](C)', 'CN', 'C1=N', 'C=CC(', '=N1', ')', 'C1=C', 'N(', 'N=C1', 'C1=', 'CC(', 'Cl)', '=', 'CC(N', 'S(C)(=O)=O)', '=C1', 'F)', 'C(C)C']"
paramethadione,"['CCC1', '(C)', 'O', 'C(=O)N(C)', 'C1=O']"
magnesium sulfate,"['[Mg++]', '.', '[O-]', 'S(', '[O-])', '(=O)=O']"
dexfenfluramine,"['CCN', '[C@@H](C)', 'CC1=', 'CC=', 'CC(', '=', 'C1)', 'C(F)(F)F']"
valaciclovir,"['CC(C)', '[C@H](N)', 'C(=O)', 'OCCO', 'CN1', 'C=N', 'C2', '=C1', 'NC(N)', '=N', 'C2=O']"
danazol,"['[H]', '[C@@]12', 'CC', '[C@@](O)(', 'C#', 'C)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CCC2', '=', 'CC3', '=C(', 'C[C@]12', 'C)C', '=N', 'O', '3']"
copanlisib,"['CO', 'C1=C(', 'OCC', 'CN2', 'CCOCC2)', 'C=', 'CC2', '=C1', 'N=C(', 'NC(=O)', 'C1=', 'CN=C(', 'N)N', '=', 'C1)', 'N1', 'CCN', '=C2', '1']"
oxytetracycline,"['[H]', '[C@@]12', '[C@@H](O)', '[C@@]3(', '[H]', ')', 'C(C(=O)', 'C4', '=C(', 'C=', 'CC', '=C4', 'O)', '[C@@]3(C)', 'O)', '=C(O)', '[C@]1(O)', 'C(=O)C(', 'C(N)=O)', '=C(O)', '[C@H]2', 'N(C)C']"
carmustine,"['Cl', 'CCNC(=O)', 'N(CCCl)', 'N', '=O']"
cephalexin,"['[H]', '[C@]12', 'S', 'CC(C)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)[C@H](', 'N)', 'C1=', 'CC=', 'CC=', 'C1)', 'C(O)=O']"
