drug_name,tokens,labels
dalfopristin,"['CCN(CC)', 'CCS(=O)(=O)', '[C@@H]1', 'CCN2', '[C@H]1', 'C(=O)O', '[C@H](C(C)C)', '[C@H](C)', '\\', 'C=C\\', 'C(=O)NC', '\\', 'C=C\\', 'C(\\', 'C)', '=C\\', '[C@@H](O)', 'CC(=O)', 'CC1=N', 'C(=', 'CO', '1)', 'C2=O']","[476, 502, 801, 484, 862, 180, 841, 842, 957, 321, 166, 957, 321, 240, 241, 112, 795, 328, 373, 140, 547, 72, 290]"
meperidine,"['CCOC(=O)', 'C1(', 'CCN(C)CC1)', 'C1=', 'CC=', 'CC', '=C1']","[495, 250, 472, 258, 388, 324, 106]"
gemfibrozil,"['CC1=', 'CC(', 'OCCCC', '(C)(C)', 'C(O)=O)', '=C(C)', 'C=C1']","[371, 327, 706, 39, 235, 97, 316]"
valrubicin,"['[H]', '[C@@]1', '(C', '[C@@](O)(', 'CC2', '=C(O)', 'C3=C(', 'C(O)', '=C1', '2)', 'C(=O)', 'C1=C(', 'OC)', 'C=', 'CC', '=C1', 'C3=O)', 'C(=O)', 'COC(=O)', 'CCCC)', 'O[C@H]1', 'C[C@H](NC(=O)', 'C(F)(F)F)', '[C@H](O)', '[C@H](C)', 'O1']","[917, 817, 36, 816, 377, 100, 300, 231, 106, 74, 146, 260, 692, 311, 324, 106, 302, 146, 553, 420, 731, 575, 219, 854, 842, 672]"
lofexidine,"['CC(O', 'C1=C(', 'Cl)', 'C=', 'CC', '=C1', 'Cl)', 'C1=N', 'CCN1']","[359, 260, 584, 311, 324, 106, 584, 265, 479]"
vitamin a,"['C', '\\', 'C(', '=C/C', 'O)', '\\', 'C=C\\', 'C', '=C(/', 'C)', '\\', 'C=C\\', 'C1=C(C)', 'CCCC1', '(C)C']","[134, 957, 139, 104, 671, 957, 321, 134, 95, 241, 957, 321, 261, 421, 40]"
lusutrombopag,"['CCCC', 'CCO', '[C@@H](C)', 'C1=C(', 'OC)', 'C(=', 'CC=', 'C1)', 'C1=C', 'S', 'C(NC(=O)', 'C2=', 'CC(', 'Cl)', '=C(\\', 'C', '=C(/', 'C)', 'C(O)=O)', 'C(Cl)', '=C', '2)', '=N1']","[415, 491, 783, 260, 692, 140, 388, 253, 259, 742, 229, 286, 327, 584, 101, 134, 95, 241, 235, 214, 93, 74, 117]"
carbamazepine,"['NC(=O)N1', 'C2=', 'CC=', 'CC', '=C2', 'C=', 'CC2', '=', 'CC=', 'CC', '=C1', '2']","[652, 286, 388, 324, 108, 311, 377, 92, 388, 324, 106, 73]"
zafirlukast,"['CO', 'C1=', 'CC(', '=', 'CC', '=C1', 'CC1=', 'CN(C)', 'C2', '=C1', 'C=C(', 'NC(=O)', 'O', 'C1CCCC1)', 'C=C', '2)', 'C(=O)NS(=O)(=O)', 'C1=', 'CC=', 'CC', '=C1', 'C']","[547, 258, 327, 92, 324, 106, 371, 523, 281, 106, 313, 646, 670, 276, 312, 74, 173, 258, 388, 324, 106, 134]"
pirfenidone,"['CC1', '=C', 'N(C(=O)', 'C=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']","[365, 93, 594, 311, 253, 258, 388, 324, 106]"
piperazine,"['C1', 'CN', 'CCN1']","[249, 519, 479]"
belinostat,"['O', 'NC(=O)', '\\', 'C=C\\', 'C1=', 'CC=', 'CC(', '=', 'C1)', 'S(=O)(=O)N', 'C1=', 'CC=', 'CC', '=C1']","[670, 646, 957, 321, 258, 388, 327, 92, 253, 746, 258, 388, 324, 106]"
phenazopyridine,"['NC1=N', 'C(N)', '=C(', 'C=', 'C1)', '\\', 'N', '=N\\', 'C1=', 'CC=', 'CC', '=C1']","[662, 222, 94, 311, 253, 957, 590, 119, 258, 388, 324, 106]"
hydroxocobalamin,"['[N+]1', '=', '2', '[Co-3]', '3', '4', '5', '(', '[N+]', '6', '=C', '7', '[C@H](', '[C@@](', 'CC(=O)', 'N)', '(C)', '[C@@]', '6', '(', '[C@@]', '6', '(N3', 'C(=', 'C(C)', 'C3', '=[N+]', '4', 'C(', 'C(C)(C)', '[C@@H]3', 'CCC(=O)N', ')', '=', 'CC3', '=[N+]', '5', 'C(', '=C', '7', 'C)', '[C@@](', 'CC(=O)', 'N)', '(', '[C@@H]3', 'CCC(=O)N', ')', 'C)', '[C@@](C)(', '[C@H]', '6', 'CC(=O)', 'N)', 'CCC(N', 'C[C@@H](C)', 'O', 'P(=O)(O', '[C@@H]3', '[C@H](', 'O[C@H](', 'N(', 'C4', '=', 'CC(', '=C(', 'C=C1', '4)', 'C)C)', 'C=', '2)', '[C@@H]3', 'O)', 'CO)', '[O-])', '=O)', '[H]', ')', 'C)', 'CCC(=O)N', ')', 'O', '[H]']","[933, 92, 73, 907, 77, 81, 85, 31, 923, 87, 93, 89, 839, 814, 328, 606, 37, 813, 87, 31, 813, 87, 52, 140, 195, 295, 129, 81, 139, 197, 810, 394, 59, 92, 382, 129, 85, 139, 93, 89, 241, 814, 328, 606, 31, 810, 394, 59, 241, 815, 838, 87, 328, 606, 400, 564, 670, 737, 810, 839, 725, 592, 305, 92, 327, 94, 316, 82, 245, 311, 74, 810, 671, 548, 945, 121, 917, 59, 241, 394, 59, 670, 917]"
iopromide,"['CO', 'CC(=O)N', 'C1=C(', 'I)', 'C(', 'C(=O)N(C)', 'CC(O)', 'CO)', '=C(', 'I)', 'C(C(=O)N', 'CC(O)', 'CO)', '=C1', 'I']","[547, 329, 260, 589, 139, 154, 360, 548, 94, 589, 193, 360, 548, 106, 588]"
levothyroxine,"['N[C@@H](', 'CC1=', 'CC(', 'I)', '=C(', 'O', 'C2=', 'CC(', 'I)', '=C(O)', 'C(', 'I)', '=C', '2)', 'C(', 'I)', '=', 'C1)', 'C(O)=O']","[667, 371, 327, 589, 94, 670, 286, 327, 589, 100, 139, 589, 93, 74, 139, 589, 92, 253, 234]"
halothane,"['[H]', 'C(Cl)', '(', 'Br)', 'C(F)(F)F']","[917, 214, 31, 133, 218]"
buspirone,"['O=C1', 'CC2(', 'CCCC2)', 'CC(=O)N1', 'CCCC', 'N1CCN(', 'CC1)', 'C1=N', 'C=', 'CC=', 'N1']","[680, 378, 424, 331, 415, 619, 369, 265, 311, 388, 609]"
nimodipine,"['CO', 'CCOC(=O)', 'C1=C(C)N', 'C(C)=C(', 'C1', 'C1=', 'CC(', '=', 'CC=', 'C1)', '[N+]([O-])=O)', 'C(=O)O', 'C(C)C']","[547, 495, 262, 202, 249, 258, 327, 92, 388, 253, 932, 180, 205]"
tolazamide,"['CC1=', 'CC', '=C(', 'C=', 'C1)', 'S(=O)(=O)N', 'C(=O)N', 'N1CCCC', 'CC1']","[371, 324, 94, 311, 253, 746, 152, 616, 365]"
erdafitinib,"['CO', 'C1=', 'CC(', '=', 'CC(', 'OC)', '=', 'C1)', 'N(', 'CCN', 'C(C)C)', 'C1=', 'CC', '=C2', 'N=', 'CC(', '=N', 'C2=', 'C1)', 'C1=', 'CN(C)', 'N=C1']","[547, 258, 327, 92, 327, 692, 92, 253, 592, 463, 206, 258, 324, 108, 634, 327, 113, 286, 253, 258, 523, 640]"
copper gluconate,"['[Cu++]', '.', 'OC', '[C@@H](O)', '[C@@H](O)[C@H](O)', '[C@@H](O)', 'C(', '[O-])', '=O', '.', 'OC', '[C@@H](O)', '[C@@H](O)[C@H](O)', '[C@@H](O)', 'C(', '[O-])', '=O']","[909, 60, 684, 795, 796, 795, 139, 945, 120, 60, 684, 795, 796, 795, 139, 945, 120]"
esketamine,"['CN', '[C@@]1(', 'CCCC', 'C1=O)', 'C1=', 'CC=', 'CC', '=C1', 'Cl']","[519, 818, 415, 267, 258, 388, 324, 106, 583]"
cefuroxime,"['[H]', '[C@]12', 'S', 'CC(CO', 'C(N)=O)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)C(', '=N/', 'OC)', '\\', 'C1=', 'CC=', 'CO', '1)', 'C(O)=O']","[917, 888, 742, 352, 226, 94, 613, 870, 648, 116, 692, 957, 258, 388, 547, 72, 234]"
cerivastatin,"['CO', 'CC1=C(', 'C2=', 'CC', '=C(', 'F)', 'C=C', '2)', 'C(\\', 'C=C\\', '[C@@H](O)', 'C[C@@H](O)', 'CC(O)=O)', '=C(', 'C(C)C)', 'N=C1', 'C(C)C']","[547, 372, 286, 324, 94, 586, 312, 74, 240, 321, 795, 567, 362, 94, 206, 640, 205]"
leflunomide,"['CC1=C(', 'C=N', 'O1)', 'C(=O)N', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(F)(F)F']","[372, 322, 673, 152, 258, 324, 94, 311, 253, 218]"
amphotericin b,"['[H]', '[C@]12', 'C[C@@H](', 'O[C@@H]3', 'O[C@H](C)', '[C@@H](O)', '[C@H](N)', '[C@@H]3', 'O)', '\\', 'C=C\\', 'C=C\\', 'C=C\\', 'C=C\\', 'C=C\\', 'C=C\\', 'C=C\\', '[C@H](C)', '[C@@H](O)', '[C@@H](C)', '[C@H](C)', 'OC(=O)', 'C[C@H](O)', 'C[C@H](O)', 'CC', '[C@@H](O)[C@H](O)', 'C[C@H](O)', 'C', '[C@]', '(O)', '(C', '[C@H](O)', '[C@H]1', 'C(O)=O)', 'O2']","[917, 888, 563, 724, 726, 795, 851, 810, 671, 957, 321, 321, 321, 321, 321, 321, 321, 842, 795, 783, 842, 686, 576, 576, 324, 796, 576, 134, 879, 54, 36, 854, 862, 235, 674]"
tolmetin,"['CN1', 'C(', 'CC(O)=O)', '=', 'CC', '=C1', 'C(=O)', 'C1=', 'CC', '=C(C)', 'C=C1']","[530, 139, 362, 92, 324, 106, 146, 258, 324, 97, 316]"
iron sucrose,"['O', '.', 'O', '.', 'O', '.', '[OH-]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[Na+]', '.', '[Na+]', '.', '[Fe+3]', '.', '[Fe+3]', '.', '[Fe+3]', '.', '[Fe+3]', '.', '[Fe+3]', '.', 'OC', '[C@H]1O', '[C@@](', 'CO)', '(O', '[C@H]2', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]2O)', '[C@@H](O)', '[C@@H]1O']","[670, 60, 670, 60, 670, 60, 946, 60, 943, 60, 943, 60, 943, 60, 943, 60, 943, 60, 943, 60, 943, 60, 943, 60, 942, 60, 942, 60, 911, 60, 911, 60, 911, 60, 911, 60, 911, 60, 684, 867, 814, 548, 53, 870, 730, 873, 795, 803]"
gallium chloride ga-67,"['[Cl-]', '.', '[Cl-]', '.', '[Cl-]', '.', '[67Ga+3]']","[904, 60, 904, 60, 904, 60, 772]"
grazoprevir,"['CO', 'C1=', 'CC2', '=N', 'C3=C(', 'CCCCC', '[C@@H]4', 'C[C@H]4', 'O', 'C(=O)N[C@H](', 'C(=O)N', '4', 'C[C@@H](', 'C[C@H]4', 'C(=O)N', '[C@@]4', '(C', '[C@H]4', 'C=C)', 'C(=O)NS(=O)(=O)', 'C4CC4)', 'O3)', 'C(C)(C)C)', 'N=C2', 'C=C1']","[547, 258, 377, 113, 300, 428, 811, 581, 670, 178, 152, 81, 563, 581, 152, 835, 36, 877, 315, 173, 308, 676, 199, 641, 316]"
loperamide,"['CN(C)', 'C(=O)C(', 'CCN1', 'CCC(O)(', 'CC1)', 'C1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', '(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']","[523, 148, 479, 403, 369, 258, 324, 94, 584, 311, 253, 31, 258, 388, 388, 253, 258, 388, 324, 106]"
inulin,"['OC', '[C@H]1O', '[C@@](', 'CO)', '(', 'OC', '[C@@]2(', 'OC', '[C@@]3(', 'OC', '[C@@]4', '(', 'OC', '[C@@]5', '(', 'OC', '[C@@]', '6', '(', 'OC', '[C@@]', '7', '(', 'OC', '[C@@]', '8', '(', 'OC', '[C@@]', '9', '(', 'OC', '[C@@]', '%10', '(', 'OC', '[C@@]', '%11', '(', 'OC', '[C@@]', '%12', '(', 'OC', '[C@@]', '%13', '(', 'OC', '[C@@]', '%14', '(', 'OC', '[C@@]', '%15', '(', 'OC', '[C@@]', '%16', '(', 'OC', '[C@@]', '%17', '(', 'OC', '[C@@]', '%18', '(', 'OC', '[C@@]', '%19', '(', 'OC', '[C@@]', '%20', '(', 'OC', '[C@@]', '%21', '(', 'OC', '[C@@]', '%22', '(', 'OC', '[C@@]', '%23', '(', 'OC', '[C@@]', '%24', '(', 'OC', '[C@@]', '%25', '(', 'OC', '[C@@]', '%26', '(', 'OC', '[C@@]', '%27', '(', 'OC', '[C@@]', '%28', '(', 'OC', '[C@@]', '%29', '(', 'OC', '[C@@]', '%30', '(', 'OC', '[C@@]', '%31', '(', 'OC', '[C@@]', '%32', '(', 'OC', '[C@@]', '%33', '(', 'OC', '[C@@]', '%34', '(', 'OC', '[C@@]', '%35', '(', 'OC', '[C@@]', '%36', '(', 'OC', '[C@@]', '%37', '(O', '[C@H]', '%38', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]', '%38', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%37', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%36', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%35', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%34', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%33', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%32', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%31', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%30', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%29', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%28', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%27', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%26', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%25', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%24', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%23', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%22', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%21', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%20', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%19', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%18', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%17', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%16', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%15', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%14', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%13', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%12', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%11', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '%10', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '9', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '8', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '7', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]', '6', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]5', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]4', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]3', 'O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]2O)', '[C@@H](O)', '[C@@H]1O']","[684, 867, 814, 548, 31, 684, 824, 684, 830, 684, 835, 31, 684, 837, 31, 684, 813, 87, 31, 684, 813, 89, 31, 684, 813, 90, 31, 684, 813, 91, 31, 684, 813, 2, 31, 684, 813, 3, 31, 684, 813, 4, 31, 684, 813, 5, 31, 684, 813, 6, 31, 684, 813, 7, 31, 684, 813, 8, 31, 684, 813, 9, 31, 684, 813, 10, 31, 684, 813, 11, 31, 684, 813, 12, 31, 684, 813, 13, 31, 684, 813, 14, 31, 684, 813, 15, 31, 684, 813, 16, 31, 684, 813, 17, 31, 684, 813, 18, 31, 684, 813, 19, 31, 684, 813, 20, 31, 684, 813, 21, 31, 684, 813, 22, 31, 684, 813, 23, 31, 684, 813, 24, 31, 684, 813, 25, 31, 684, 813, 26, 31, 684, 813, 27, 31, 684, 813, 28, 31, 684, 813, 29, 53, 838, 30, 730, 838, 30, 671, 729, 780, 29, 671, 729, 780, 28, 671, 729, 780, 27, 671, 729, 780, 26, 671, 729, 780, 25, 671, 729, 780, 24, 671, 729, 780, 23, 671, 729, 780, 22, 671, 729, 780, 21, 671, 729, 780, 20, 671, 729, 780, 19, 671, 729, 780, 18, 671, 729, 780, 17, 671, 729, 780, 16, 671, 729, 780, 15, 671, 729, 780, 14, 671, 729, 780, 13, 671, 729, 780, 12, 671, 729, 780, 11, 671, 729, 780, 10, 671, 729, 780, 9, 671, 729, 780, 8, 671, 729, 780, 7, 671, 729, 780, 6, 671, 729, 780, 5, 671, 729, 780, 4, 671, 729, 780, 3, 671, 729, 780, 2, 671, 729, 780, 91, 671, 729, 780, 90, 671, 729, 780, 89, 671, 729, 780, 87, 671, 729, 812, 671, 729, 811, 671, 729, 810, 671, 729, 808, 795, 803]"
tolcapone,"['CC1=', 'CC', '=C(', 'C=', 'C1)', 'C(=O)', 'C1=', 'CC(', '=C(O)', 'C(O)', '=', 'C1)', '[N+]([O-])=O']","[371, 324, 94, 311, 253, 146, 258, 327, 100, 231, 92, 253, 931]"
streptomycin,"['CN', '[C@H]1', '[C@H](O)[C@@H](O)', '[C@H](CO)', 'O', '[C@H]1O', '[C@H]1[C@H](', 'O[C@H]2', '[C@H](O)[C@@H](O)', '[C@H](', 'NC(N)', '=N)', '[C@@H](O)', '[C@@H]2', 'NC(N)', '=N)', 'O', '[C@@H](C)', '[C@]1(O)', 'C', '=O']","[519, 862, 855, 849, 670, 867, 869, 732, 855, 839, 660, 114, 795, 805, 660, 114, 670, 783, 887, 134, 120]"
methacholine,"['CC(', 'C', '[N+](C)(C)C)', 'O', 'C(C)=O']","[327, 134, 929, 670, 203]"
voxilaprevir,"['CC[C@@H]1', '[C@@H]2', 'CN(', '[C@@H]1', 'C(=O)N', '[C@@]1(', 'C[C@H]1', 'C(F)F)', 'C(=O)NS(=O)(=O)', 'C1(C)', 'CC1)', 'C(=O)', '[C@@H](NC(=O)', 'O[C@@H]1', 'C[C@H]1', 'CCCC', 'C(F)(F)', 'C1=C(', 'O2)', 'N=C2', 'C=C(', 'OC)', 'C=', 'CC2', '=N1', ')', 'C(C)(C)C']","[507, 805, 520, 801, 152, 818, 577, 220, 173, 251, 369, 146, 793, 722, 577, 415, 217, 260, 675, 641, 313, 692, 311, 377, 117, 59, 198]"
tafenoquine,"['CO', 'C1=', 'CC(C)', '=C2', 'C(', 'OC3', '=', 'CC=', 'CC(', '=C', '3)', 'C(F)(F)F)', '=C(', 'OC)', 'C=C(', 'N', 'C(C)', 'CCCN)', 'C2=', 'N1']","[547, 258, 341, 108, 139, 696, 92, 388, 327, 93, 78, 219, 94, 692, 313, 590, 195, 448, 286, 609]"
minocycline,"['[H]', '[C@@]12', 'CC3', '=C(', 'C(O)', '=', 'CC', '=C3', 'N(C)C)', 'C(=O)', 'C1=C(O)', '[C@]1(O)', 'C(=O)C(', 'C(N)=O)', '=C(O)', '[C@@H](', 'N(C)C)', '[C@]1(', '[H]', ')', 'C2']","[917, 822, 382, 94, 231, 92, 324, 109, 599, 146, 263, 887, 148, 226, 100, 781, 599, 885, 917, 59, 281]"
levobupivacaine,"['CCCCN1', 'CCCC', '[C@H]1', 'C(=O)N', 'C1=C(C)', 'C=', 'CC', '=C1', 'C']","[442, 415, 862, 152, 261, 311, 324, 106, 134]"
ergometrine,"['[H]', '[C@@]12', 'CC3', '=', 'CN', 'C4', '=', 'CC=', 'CC(', '=C3', '4)', 'C1=C', '[C@H](', 'CN2', 'C)', 'C(=O)N[C@@H](C)', 'CO']","[917, 822, 382, 92, 519, 305, 92, 388, 327, 109, 82, 259, 839, 535, 241, 175, 547]"
fexofenadine,"['CC(C)(', 'C(O)=O)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(O)', 'CCCN1', 'CCC(', 'CC1)', 'C(O)(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']","[342, 235, 258, 324, 94, 311, 253, 231, 449, 392, 369, 232, 258, 388, 388, 253, 258, 388, 324, 106]"
carmustine,"['Cl', 'CCNC(=O)', 'N(CCCl)', 'N', '=O']","[583, 487, 603, 590, 120]"
pitavastatin,"['O[C@H](', 'C[C@H](O)', '\\', 'C=C\\', 'C1=C(', 'N=C2', 'C=', 'CC=', 'CC2', '=C1', 'C1=', 'CC', '=C(', 'F)', 'C=', 'C1)', 'C1CC1)', 'CC(O)', '=O']","[725, 576, 957, 321, 260, 641, 311, 388, 377, 106, 258, 324, 94, 586, 311, 253, 272, 360, 120]"
lesinurad,"['OC(=O)', 'CS', 'C1=N', 'N=C(', 'Br)', 'N1', 'C1=', 'CC', '=C(', 'C2CC2)', 'C2', '=C1', 'C=', 'CC', '=C2']","[686, 560, 265, 636, 133, 609, 258, 324, 94, 292, 281, 106, 311, 324, 108]"
gatifloxacin,"['CO', 'C1', '=C2', 'N(C', '=C(', 'C(O)=O)', 'C(=O)', 'C2=', 'CC', '(F)', '=C1', 'N1', 'CCN', 'C(C)', 'C1)', 'C1CC1']","[547, 249, 108, 593, 94, 235, 146, 286, 324, 47, 106, 609, 463, 195, 253, 271]"
norethisterone,"['[H]', '[C@@]12', 'CC', '[C@@](O)(', 'C#', 'C)', '[C@@]1(C)CC', '[C@]1(', '[H]', ')', '[C@@]3(', '[H]', ')', 'CCC(=O)', 'C=C3', 'CC', '[C@@]21', '[H]']","[917, 822, 324, 816, 135, 241, 820, 885, 917, 59, 830, 917, 59, 393, 318, 324, 827, 917]"
irinotecan,"['CCC1', '=C2', 'CN3', 'C(=', 'CC4', '=C(', 'COC(=O)', '[C@]4', '(O)', 'CC)', 'C3=O)', 'C2=N', 'C2=', 'CC', '=C(', 'O', 'C(=O)N3', 'CCC(', 'CC3)', 'N3', 'CCCCC3)', 'C=', 'C12']","[406, 108, 539, 140, 385, 94, 553, 898, 54, 364, 302, 289, 286, 324, 94, 670, 165, 392, 383, 631, 433, 311, 255]"
