drug_name,smiles,tokens
raloxifene,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,"['O', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C1=C(', 'C(=O)', 'C2=', 'CC', '=C(', 'OCC', 'N3', 'CCCCC3)', 'C=C', '2)', 'C2=C(', 'S', '1)', 'C=C(', 'O)', 'C=C2']"
griseofulvin,COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,"['CO', 'C1=', 'CC(', 'OC)', '=C(', 'Cl)', 'C2', '=C1', 'C(=O)', '[C@]1', '(O', '2)', '[C@H](C)', 'CC(=O)', 'C=C1', 'OC']"
meclofenamic acid,CC1=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C(Cl)C=C1,"['CC1=C(', 'Cl)', 'C(N', 'C2=', 'CC=', 'CC', '=C2', 'C(O)=O)', '=C(', 'Cl)', 'C=C1']"
voxelotor,CC(C)N1N=CC=C1C1=C(COC2=CC=CC(O)=C2C=O)C=CC=N1,"['CC(C)', 'N1', 'N=', 'CC', '=C1', 'C1=C(', 'CO', 'C2=', 'CC=', 'CC(O)', '=C2', 'C=O)', 'C=', 'CC=', 'N1']"
dexmethylphenidate,[H][C@@](C(=O)OC)(C1=CC=CC=C1)[C@@]1([H])CCCCN1,"['[H]', '[C@@](', 'C(=O)OC)', '(', 'C1=', 'CC=', 'CC=', 'C1)', '[C@@]1(', '[H]', ')', 'CCCCN1']"
zolmitriptan,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,"['CN(C)', 'CCC1', '=', 'CN', 'C2=', 'CC', '=C(', 'C[C@H]3', 'COC(=O)N', '3)', 'C=', 'C12']"
levodopa,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O,"['N[C@@H](', 'CC1=', 'CC(O)', '=C(O)', 'C=', 'C1)', 'C(O)=O']"
methyldopa,C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O,"['C', '[C@](', 'N)', '(', 'CC1=', 'CC', '=C(O)', 'C(O)', '=', 'C1)', 'C(O)=O']"
naltrexone,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O,"['[H]', '[C@@]12', 'OC3', '=C(O)', 'C=', 'CC4', '=C3', '[C@@]1', '1', 'CCN(', 'CC3CC3)', '[C@](', '[H]', ')', '(C', '4)', '[C@]1(O)', 'CCC2', '=O']"
pindolol,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2,"['CC(C)N', 'CC(O)CO', 'C1=', 'CC=', 'CC2', '=C1', 'C=', 'CN2']"
dexamethasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"['[H]', '[C@@]12', 'C[C@@H](C)', '[C@](O)(', 'C(=O)', 'CO)', '[C@@]1', '(C)C', '[C@H](O)', '[C@@]1', '(F)', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'C=C', '[C@]12C']"
glimepiride,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,"['CCC1', '=C(C)', 'CN(', 'C(=O)N', 'CCC2', '=', 'CC', '=C(', 'C=C', '2)', 'S(=O)(=O)N', 'C(=O)N', '[C@H]2', 'CC[C@H](C)', 'CC2)', 'C1=O']"
trospium,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,"['[H]', '[C@]12', 'CC', '[C@](', '[H]', ')', '(', 'C[C@@H](', 'C1)', 'OC(=O)', 'C(O)(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC=', 'C1)', '[N+]2', '1', 'CCCC1']"
flurbiprofen,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,"['CC(', 'C(O)=O)', 'C1=', 'CC', '(F)', '=C(', 'C=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
pasireotide,NCCCC[C@@H]1NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@@H](NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(OCC3=CC=CC=C3)C=C2)NC1=O)OC(=O)NCCN)C1=CC=CC=C1,"['NCCCC', '[C@@H]1', 'NC(=O)[C@@H](', 'CC2', '=', 'CN', 'C3', '=C2', 'C=', 'CC', '=C', '3)', 'NC(=O)', '[C@@H](NC(=O)', '[C@@H]2', 'C[C@H](', 'CN2C(=O)', '[C@H](', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'NC(=O)[C@H](', 'CC2', '=', 'CC', '=C(', 'OCC3', '=', 'CC=', 'CC', '=C', '3)', 'C=C', '2)', 'N', 'C1=O)', 'O', 'C(=O)NCC', 'N)', 'C1=', 'CC=', 'CC', '=C1']"
aclidinium,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,"['OC(', 'C(=O)O', '[C@H]1C', '[N+]2', '(', 'CCCO', 'C3=', 'CC=', 'CC', '=C', '3)', 'CCC1', 'CC2)', '(', 'C1=', 'CC', '=C', 'S', '1)', 'C1=', 'CC', '=C', 'S1']"
levamisole,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,"['C1', 'CN2', 'C[C@@H](', 'N=C2', 'S', '1)', 'C1=', 'CC=', 'CC', '=C1']"
eliglustat,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)C1=CC=C2OCCOC2=C1,"['CCCCCCCC', '(=O)N', '[C@H](', 'CN1', 'CCCC1)', '[C@H](O)', 'C1=', 'CC', '=C2', 'OCCO', 'C2', '=C1']"
gonadorelin,CC(C)CC(NC(=O)CNC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O,"['CC(C)', 'CC(NC(=O)', 'CNC(=O)', 'C(', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'NC(=O)', 'C(CO)', 'NC(=O)C(', 'CC1=', 'CN', 'C2=', 'CC=', 'CC', '=C1', '2)', 'NC(=O)C(', 'CC1=', 'CN', '=', 'CN', '1)', 'NC(=O)', 'C1', 'CCC(=O)N', '1)', 'C(=O)NC(', 'CCCN=C(N)N)', 'C(=O)N1', 'CCCC1', 'C(=O)N', 'CC(N)', '=O']"
sucralfate,O.O[Al](O)O.O[Al](O)OS(=O)(=O)OC[C@H]1O[C@@](COS(=O)(=O)O[Al](O)O)(O[C@H]2O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@H]2OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O,"['O', '.', 'O', '[Al]', '(O)', 'O', '.', 'O', '[Al]', '(O)', 'O', 'S(=O)(=O)', 'OC', '[C@H]1O', '[C@@](', 'CO', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '(O', '[C@H]2', 'O[C@H](CO', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '[C@@H](O', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '[C@H](O', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '[C@H]2O', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '[C@@H](O', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O)', '[C@@H]1O', 'S(=O)(=O)', 'O', '[Al]', '(O)', 'O']"
monopotassium phosphate,[K+].OP(O)([O-])=O,"['[K+]', '.', 'O', 'P(O)', '([O-])', '=O']"
aztreonam,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O,"['C[C@H]1', '[C@H](NC(=O)', 'C(', '=N/', 'OC(C)(C)', 'C(=O)O)', '\\', 'C2', '=C', 'SC(', '[NH3+]', ')', '=N', '2)', 'C(=O)N1', 'S(', '[O-])', '(=O)=O']"
acetohydroxamic acid,CC(=O)NO,"['CC(=O)N', 'O']"
timolol,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,"['[H]', '[C@](O)(', 'CN', 'C(C)(C)C)', 'CO', 'C1=N', 'S', 'N=C1', 'N1CCOCC1']"
isosorbide dinitrate,[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O,"['[H]', '[C@]12', 'OC', '[C@H](O', '[N+]([O-])=O)', '[C@@]1(', '[H]', ')', 'OC', '[C@H]2O', '[N+]([O-])=O']"
zalcitabine,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,"['N', 'C1=', 'NC(=O)', 'N(', 'C=', 'C1)', '[C@H]1', 'CC[C@@H](', 'CO)', 'O1']"
exemestane,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C,"['[H]', '[C@@]12', 'CCC(=O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC(', '=C)', 'C2=', 'CC(=O)', 'C=C', '[C@]12C']"
primidone,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,"['CCC1(', 'C(=O)N', 'CN', 'C1=O)', 'C1=', 'CC=', 'CC', '=C1']"
ammonium chloride,[NH4+].[Cl-],"['[NH4+]', '.', '[Cl-]']"
alogliptin,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,"['CN1C(=O)', 'C=C(', 'N2', 'CCC', '[C@@H](N)', 'C2)', 'N(', 'CC2', '=C(', 'C=', 'CC', '=C', '2)', 'C#N)', 'C1=O']"
piperacillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,"['[H]', '[C@]12', 'S', 'C(C)(C)', '[C@@H](', 'N1C(=O)', '[C@H]2', 'NC(=O)[C@H](', 'NC(=O)N1', 'CCN(CC)C(=O)', 'C1=O)', 'C1=', 'CC=', 'CC=', 'C1)', 'C(O)=O']"
cefuroxime,[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CC=CO1)C(O)=O,"['[H]', '[C@]12', 'S', 'CC(CO', 'C(N)=O)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)C(', '=N/', 'OC)', '\\', 'C1=', 'CC=', 'CO', '1)', 'C(O)=O']"
levocetirizine,OC(=O)COCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1,"['OC(=O)', 'CO', 'CCN1CCN(', 'CC1)', '[C@H](', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']"
esomeprazole,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,"['CO', 'C1=', 'CC2', '=C(', 'NC(', '=N', '2)', '[S@@]', '(=O)', 'CC2', '=N', 'C=C(C)', 'C(OC)', '=C2', 'C)', 'C=C1']"
treprostinil,[H][C@]12C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]1([H])CC1=C(C2)C(OCC(O)=O)=CC=C1,"['[H]', '[C@]12', 'C[C@@H](O)', '[C@H](CC', '[C@@H](O)', 'CCCCC)', '[C@@]1(', '[H]', ')', 'CC1=C(', 'C2)', 'C(OCC', '(O)=O)', '=', 'CC', '=C1']"
bisacodyl,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=CC=CC=N1,"['CC(=O)O', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(', 'C1=', 'CC', '=C(', 'OC(C)=O)', 'C=', 'C1)', 'C1=', 'CC=', 'CC=', 'N1']"
dabrafenib,CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1,"['CC(C)(C)', 'C1=N', 'C(', '=C(', 'S', '1)', 'C1=N', 'C(N)=N', 'C=', 'C1)', 'C1=C(', 'F)', 'C(N', 'S(=O)(=O)', 'C2=C(', 'F)', 'C=', 'CC', '=C2', 'F)', '=', 'CC', '=C1']"
iron,[Fe],['[Fe]']
sodium acetate,[Na+].CC([O-])=O,"['[Na+]', '.', 'CC(', '[O-])', '=O']"
lithium carbonate,[Li+].[Li+].[O-]C([O-])=O,"['[Li+]', '.', '[Li+]', '.', '[O-]', 'C(', '[O-])', '=O']"
torasemide,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,"['CC(C)', 'NC(=O)N', 'S(=O)(=O)', 'C1=C(', 'N', 'C2=', 'CC=', 'CC(C)', '=C', '2)', 'C=', 'CN', '=C1']"
sotalol,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,"['CC(C)N', 'CC(O)', 'C1=', 'CC', '=C(N', 'S(C)(=O)=O)', 'C=C1']"
ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,"['[H]', '[C@@]1(', 'OC(=O)', 'C(O)', '=C1', 'O)', '[C@@H](O)', 'CO']"
telbivudine,CC1=CN([C@@H]2C[C@@H](O)[C@H](CO)O2)C(=O)NC1=O,"['CC1', '=C', 'N(', '[C@@H]2', 'C[C@@H](O)', '[C@H](CO)', 'O2)', 'C(=O)N', 'C1=O']"
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,"['CCCCC1', '=N', 'C2(', 'CCCC2)', 'C(=O)N1', 'CC1=', 'CC', '=C(', 'C=', 'C1)', 'C1=', 'CC=', 'CC', '=C1', 'C1=N', 'N', 'N', '=N1']"
mercaptopurine,S=C1N=CNC2=C1NC=N2,"['S', '=C1', 'N=', 'CN', 'C2', '=C1', 'N', 'C=', 'N2']"
amiodarone,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,"['CCCCC1', '=C(', 'C(=O)', 'C2=', 'CC(', 'I)', '=C(', 'OCC', 'N(CC)CC)', 'C(', 'I)', '=C', '2)', 'C2=C(', 'O1)', 'C=', 'CC', '=C2']"
fluvoxamine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,"['CO', 'CCCC', '\\', 'C(', '=N/', 'OCC', 'N)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(F)(F)F']"
bremelanotide,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](CC2=CNC3=CC=CC=C23)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CN=CN2)NC1=O)C(O)=O,"['CCCC', '[C@H](', 'NC(C)=O)', 'C(=O)N[C@H]1', 'CC(=O)N', 'CCCC', '[C@H](', 'NC(=O)[C@H](', 'CC2', '=', 'CN', 'C3=', 'CC=', 'CC', '=C2', '3)', 'NC(=O)[C@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@@H](', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'NC(=O)[C@H](', 'CC2', '=', 'CN', '=', 'CN', '2)', 'N', 'C1=O)', 'C(O)=O']"
lindane,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,"['Cl', '[C@H]1[C@H](', 'Cl)', '[C@@H](', 'Cl)', '[C@@H](', 'Cl)', '[C@H](', 'Cl)', '[C@H]1', 'Cl']"
auranofin,CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,"['CC', 'P', '(CC)', '(CC)', '=', '[Au]', 'S', '[C@@H]1', 'O[C@H](CO', 'C(C)=O)', '[C@@H](OC(C)=O)', '[C@H](OC(C)=O)', '[C@H]1O', 'C(C)=O']"
