services,agcid,adr1,adr2,city,email,fax,nme,phone1,statecd,weburl,zipcd,agc_ADDR_LATITUDE,agc_ADDR_LONGITUDE,languages,faithbased,counslg_METHOD,language_ARA,language_ASL,language_CAM,language_CAN,language_CHI,language_CRE,language_CZE,language_ENG,language_FAR,language_FRE,language_GER,language_HIN,language_HMO,language_IND,language_ITA,language_KOR,language_OTH,language_POL,language_POR,language_RUS,language_SPA,language_SWA,language_TUR,language_UKR,language_VIE,service_DFC,service_DFW,service_FBC,service_FBW,service_FHW,service_HIC,service_HMC,service_NDW,service_PLW,service_PPC,service_PPW,service_RHC,service_RHW,service_RMC,counseling_FTF,counseling_GRP,counseling_OTH,counseling_TEL,counseling_VID,counseling_WEB,dqf_current,dqf_forecast,dqf_rmse_train,dqf_rmse_test,dqf_mae_train,dqf_mae_test,dqf_mape_train,dqf_mape_test,pp_current,pp_forecast,pp_rmse_train,pp_rmse_test,pp_mae_train,pp_mae_test,pp_mape_train,pp_mape_test
"DFC,FBC,FBW,HIC,NDW,PPC,PPW,RHC",90643,705 Peace Pipe Lane,,Lac Du Flambeau,INFO@WINLF.org,,WISCONSIN NATIVE LOAN FUND,715-588-1600,WI,http://winlf.org,54538,,,ENG,No,TEL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6289987430841393,-0.0012945781247122,3446.59,11710.11,1220.34,3480.16,4.467026105035325e+17,6.683794815077795e+17,-19.510401128533715,-0.0028906652298372,2960.36,9945.89,893.84,2490.72,3.098661183663096e+17,3.881786891543461e+17
"DFC,FBC,FBW,PPC,RHC",81585,68 Birge St,,Brattleboro,jpaquette@homemattershere.org,802-254-4656,WINDHAM AND WINDSOR HOUSING TRUST,802-246-2116,VT,https://www.homemattershere.org/,5301,42.848378,-72.567017,ENG,No,"GRP,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.654898633241956,-0.0023538115031492,315.79,2115.31,120.14,579.79,3.977163772929519e+16,3.842052641006881e+16,-8.58909928195672,-0.0009135698478437,265.61,1810.7,84.99,423.81,1.8922569673871708e+16,2.623874243234942e+16
"DFC,DFW,FBC,FBW,FHW,PPC,PPW,RHC",80957,504 E Green St,,WILSON,blackston@wciainc.org,252-243-2945,"WILSON COMMUNITY IMPROVEMENT ASSOCIATION, INC.",252-243-4855,NC,,27893,35.723346,-77.905352,ENG,No,"TEL,GRP,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0920956647403556,-0.0012047435050155,3829.32,25305.03,1129.67,6119.47,1.0214959247395732e+18,1.817620445401622e+18,-17.357370266388386,-0.0004278643727582,3271.89,21648.7,829.11,4438.61,7.6363917509236e+17,1.0351144909537334e+18
"FBC,FBW,FHW,HMC,NDW,PPC,PPW,RHC,RHW",90512,134 S Highland Ave,,Pittsburgh,contact.wavellc@gmail.com,412-587-0709,WILLISSAE'S AGENCY FOR VISION AND EMPOWERMENT (WAVE),412-573-9217,PA,,15206,40.460292,-79.925208,ENG,Yes,"GRP,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.4777619031553968,-0.0037114763146693,5818.81,51023.46,2215.23,13166.44,5.246421268565137e+17,7.705985821459464e+17,-10.617962652716216,-0.0049970793797631,4981.99,43672.33,1623.76,9650.67,3.872010370846472e+17,4.261856919135163e+17
"DFC,DFW,FHW,NDW,PPC,PPW,RHC",80129,2455 Glenwood Ave,,Joliet,contactus@wcccc.net,815-722-6344,WILL COUNTY CENTER FOR COMMUNITY CONCERNS,815-722-0722,IL,https://www.wcccc.net,60435,41.52963,-88.142423,"ENG,SPA",No,"GRP,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.0175079994570808,0.0114772217186156,6016.04,30680.93,1988.65,8877.99,9.933588904204608e+17,1.95176124715834e+18,-10.062770967617766,0.0109652229690386,5126.2,26340.51,1454.39,6456.65,6.989620097552755e+17,1.3110384397008435e+18
"DFC,FBC,NDW,PPC,PPW,RHC,RHW",84820,1624 White Oak Church Rd,,Apex,,,"WHITE OAK FOUNDATION, INC.",919-362-6799,NC,http://whiteoakfoundationnc.org,27523,35.78004,-78.919623,"ENG,SPA",Yes,"TEL,GRP,WEB,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0920956647403556,-0.0012047435050155,3829.32,25305.03,1129.67,6119.47,1.0214959247395732e+18,1.817620445401622e+18,-17.357370266388386,-0.0004278643727582,3271.89,21648.7,829.11,4438.61,7.6363917509236e+17,1.0351144909537334e+18
"FBC,FBW,PPC,PPW",90642,718 Washington Ave,,Detroit Lakes,strnka@mmcdc.com,218-847-3192,WHITE EARTH INVESTMENT INITIATIVE,218-847-3191,MN,http://weii.website,56501,46.819,-95.845488,ENG,No,"TEL,VID,WEB,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.5565932824043784,-0.0042764113178628,3859.13,16429.48,1201.93,4612.73,5.035554809277483e+17,4.691628217786149e+17,-5.838946424109551,-0.0040030042298056,3298.31,13983.3,881.65,3376.28,3.722174796281958e+17,3.7723988670869645e+17
"DFC,DFW,FBC,FBW,HIC,HMC,PPC,PPW,RHC",82463,226 S Maple Ave,,Greensburg,wstinebiser@westmorelandca.org,724-838-9563,WESTMORELAND COMMUNITY ACTION,724-834-1260,PA,,15601,40.300555,-79.542771,ENG,Yes,"TEL,GRP,WEB,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.4777619031553968,-0.0037114763146693,5818.81,51023.46,2215.23,13166.44,5.246421268565137e+17,7.705985821459464e+17,-10.617962652716216,-0.0049970793797631,4981.99,43672.33,1623.76,9650.67,3.872010370846472e+17,4.261856919135163e+17
"DFC,PPC,RHC",80193,1880 2nd Ave NW,,Hickory,,,WESTERN PIEDMONT COUNCIL OF GOVERNMENTS,828-322-9191,NC,http://www.wpcog.org,28601,35.735917,-81.371578,"ENG,HMO,SPA",No,"TEL,GRP,WEB,FTF",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0920956647403556,-0.0012047435050155,3829.32,25305.03,1129.67,6119.47,1.0214959247395732e+18,1.817620445401622e+18,-17.357370266388386,-0.0004278643727582,3271.89,21648.7,829.11,4438.61,7.6363917509236e+17,1.0351144909537334e+18
"DFC,FBW,FHW,HIC,HMC,NDW,PPC,PPW,RHC",81644,125 Main St Ste A,,Stamford,,,"WESTERN CATSKILLS COMMUNITY REVITALIZATION COUNCIL, INC",607-652-2823,NY,http://www.westerncatskills.org,12167,42.41008,-74.619881,ENG,No,TEL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.912904953259442,-0.0088955788188022,7462.46,84938.81,3084.53,19971.71,1.7426795177755502e+18,2.773904139953548e+18,-12.84393140801052,0.0040838022680791,6409.58,73305.45,2268.01,14751.38,1.360182662531959e+18,2.2405458784348283e+18
"DFC,FBC,FBW,PPC,PPW,RHC",82430,208 North 4th St.,,KINGMAN,miaa@wacog.com,928-329-4248,WESTERN ARIZONA COUNCIL OF GOVERNMENTS (WACOG) - KINGMAN BRANCH OFFICE,928-217-7195,AZ,https://www.wacog.com,86401,35.18964,-114.052957,ENG,No,"GRP,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.687200393110388,0.0010346039306261,3451.55,10957.76,1038.54,3409.99,1.2665317916541238e+18,2.689981947613106e+18,-9.616313899497015,0.0010017088527869,2849.13,9271.3,735.35,2425.07,8.809351446373123e+17,1.766654837067341e+18
"DFC,FBC,FBW,PPC,PPW,RHC",82429,1235 S Redondo Center Dr,,Yuma,miaa@wacog.com,928-329-4248,WESTERN ARIZONA COUNCIL OF GOVERNMENTS (WACOG),928-782-1886,AZ,http://www.wacog.com,85365,32.705075,-114.612668,"ENG,SPA",No,"GRP,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.687200393110388,0.0010346039306261,3451.55,10957.76,1038.54,3409.99,1.2665317916541238e+18,2.689981947613106e+18,-9.616313899497015,0.0010017088527869,2849.13,9271.3,735.35,2425.07,8.809351446373123e+17,1.766654837067341e+18
"DFC,DFW,NDW,PPC,PPW,RHC,RHW,RMC",80437,470 Mamaroneck Ave Ste 410,,White Plains,info@wroinc.org,914-428-9455,"WESTCHESTER RESIDENTIAL OPPORTUNITIES, INCORPORATED",914-428-4507,NY,https://www.wroinc.org,10605,41.02262,-73.760021,"ENG,FRE,SPA",No,"GRP,OTH,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.912904953259442,-0.0088955788188022,7462.46,84938.81,3084.53,19971.71,1.7426795177755502e+18,2.773904139953548e+18,-12.84393140801052,0.0040838022680791,6409.58,73305.45,2268.01,14751.38,1.360182662531959e+18,2.2405458784348283e+18
"DFC,FBC,FHW,HIC,HMC,NDW,PLW,PPC,PPW,RHC",80293,210 West Main Street,,JACKSON,,731-423-2600,"WEST TENNESSEE LEGAL SERVICES, INCORPORATED",731-423-0616,TN,www.wtls.org,38301,35.614415,-88.821834,"ENG,SPA",No,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,-0.6759154328510846,0.0005717634714939,7695.56,14756.45,1519.18,4403.5,2.0446228092886093e+18,2.913566484025865e+18,-8.892641181950452,-0.0012546338352227,6495.17,12587.51,1048.13,3107.81,1.314085509325821e+18,2.0870570868161848e+18
"DFC,FBC,FHW,HIC,HMC,NDW,PLW,PPC,PPW,RHC",83154,210 W Main St,210 W. Main St,Jackson,www.wtls@wtls.org,731-423-2600,"WEST TENNESSEE LEGAL SERVICES, INC.",731-423-0616,TN,http://www.wtls.org,38301,35.614415,-88.821834,"ENG,OTH,SPA",No,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,-0.6759154328510846,0.0005717634714939,7695.56,14756.45,1519.18,4403.5,2.0446228092886093e+18,2.913566484025865e+18,-8.892641181950452,-0.0012546338352227,6495.17,12587.51,1048.13,3107.81,1.314085509325821e+18,2.0870570868161848e+18
"DFW,PPC,PPW",90519,359 Connecticut Street,,BUFFALO,ksteinman@nfnhs.org,,"WEST SIDE NEIGHBORHOOD HOUSING SERVICES, INC.",716-285-7778,NY,https://wsnhs.org/,14213,42.905722,-78.887546,"ENG,SPA",No,"TEL,GRP,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-2.912904953259442,-0.0088955788188022,7462.46,84938.81,3084.53,19971.71,1.7426795177755502e+18,2.773904139953548e+18,-12.84393140801052,0.0040838022680791,6409.58,73305.45,2268.01,14751.38,1.360182662531959e+18,2.2405458784348283e+18
"DFC,DFW,FBC,FBW,FHW,NDW,PLW,PPC,PPW,RHC,RHW",81044,3700 Georgia Ave,,West Palm Beach,,,WEST PALM BEACH HOUSING AUTHORITY,561-655-8530,FL,http://www.wpbha.org,33405,26.678173,-80.058545,"ENG,SPA",No,"GRP,OTH,VID,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.217932739291939,-0.0037295975634715,8349.55,50985.4,2355.02,13141.65,3.0940524803217475e+18,4.445021390705593e+18,-4.967511598530464,-0.0027694349797704,7158.04,43511.59,1728.56,9430.19,2.280986382493733e+18,2.6764302918342374e+18
"DFW,FBC,FHW,HMC,PLW,PPC,PPW,RHC",84585,540 S Central Ave,,Lima,,,WEST OHIO COMMUNITY ACTION PARTNERSHIP,419-227-2586,OH,http://www.wocap.org,45804,40.731427,-84.102436,ENG,No,"TEL,GRP,VID,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.5495712038252947,-0.0040822533870249,5315.85,27804.9,1627.98,7923.94,5.632705709020264e+17,5.7323134944737184e+17,18.155573136876697,-0.0042249651122932,4540.97,23796.89,1190.22,5838.4,3.8508504125492576e+17,3.944115144184188e+17
"DFC,DFW,NDW,PPC,PPW,RHC",83463,1624 E Wadsworth Ave,,Philadelphia,wolcdcts@gmail.com,215-224-8746,WEST OAK LANE COMMUNITY DEVELOPMENT,215-224-8339-334,PA,None,19150,40.080943,-75.17183,ENG,No,"TEL,GRP,VID,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.4777619031553968,-0.0037114763146693,5818.81,51023.46,2215.23,13166.44,5.246421268565137e+17,7.705985821459464e+17,-10.617962652716216,-0.0049970793797631,4981.99,43672.33,1623.76,9650.67,3.872010370846472e+17,4.261856919135163e+17
"DFC,HMC,NDW,PLW,PPC,PPW,RHC",82987,1328 Highway 80 W,,Jackson,linda.carter@jsums.edu,601-397-6902,WEST JACKSON CDC,601-946-9310,MS,https://www.westjacksoncdc.net,39204,32.286489,-90.207563,ENG,No,"TEL,GRP,VID,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.4023848708374516,-0.0001812206712225,824.2,8058.66,273.72,1715.11,1.0803547713269218e+17,1.112588018875378e+17,-9.293866546719812,4.864177903068402e-06,705.45,6902.17,202.45,1257.8,9.048290194970938e+16,7.613669377716614e+16
"DFC,FBC,FHW,HIC,NDW,PLW,PPC,PPW",81377,224 Dexter St,,Providence,,,WEST ELMWOOD HOUSING DEVELOPMENT CORPORATION,401-453-3220,RI,http://www.westelmwood.org,2907,41.810207,-71.428295,"ENG,SPA",No,"GRP,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-2.418323344054613,-0.0031538711628423,1095.8,3706.78,289.11,1110.77,5.5781918825734296e+16,7.622263220706859e+16,-15.49769690434556,-0.0040477897469452,937.46,3168.38,211.96,810.73,4.244088114901884e+16,5.983901261745841e+16
"DFC,PPC,PPW",84186,411 Industrial Park Blvd,,Elbow Lake,missyb@wcmca.org,,WEST CENTRAL MINNESOTA COMMUNITIES ACTION,218-685-4486x7063,MN,http://www.wcmca.org,56531,45.983117,-95.966779,ENG,No,"GRP,VID,WEB,TEL,FTF",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.5565932824043784,-0.0042764113178628,3859.13,16429.48,1201.93,4612.73,5.035554809277483e+17,4.691628217786149e+17,-5.838946424109551,-0.0040030042298056,3298.31,13983.3,881.65,3376.28,3.722174796281958e+17,3.7723988670869645e+17
